problemE,problemS,answer,used,chalid,recid,winid
"A box contains more than 150 rocks. The rocks can be divided into equal shares among 4, 5, 6 or 9 children with 1 rock left over each time. What is the least number of rocks that the box can contain?","Una caja contiene más de 150 piedras. Las piedras se pueden dividir en partes iguales entre 4, 5, 6 o 9 niños con 1 piedra restante cada vez. ¿Cuál es el menor número de piedras que puede contener la caja?",181,0,none,none,none
"Each of 10 tanks contains at least one fish. Each tank contains a different number of fish, except for two tanks that contain the same number of fish. What is the smallest total number of fish the 10 tanks could contain?","Cada uno de los 10 tanques contiene al menos un pez. Cada tanque contiene una cantidad diferente de peces, excepto dos tanques que contienen la misma cantidad de peces. ¿Cuál es el número total más pequeño de peces que podrían contener los 10 tanques?",46,0,none,none,none
"A circle is inscribed in a square, which is inscribed in another circle. What is the ratio of the area of the larger circle to the smaller circle?","Un círculo está inscrito en un cuadrado, el cual está inscrito en otro círculo. ¿Cuál es la razón entre el área del círculo más grande y el área del círculo más pequeño?",2,0,none,none,none
"How many days are there from January 2, 2024 to December 25, 2024, inclusive?","¿Cuántos días hay desde el 2 de enero de 2024 al 25 de diciembre de 2024, inclusive?",359,0,none,none,none
"The volume of a certain cone is equal to the volume of a certain sphere. Given that the radius of the sphere and the base radius of the cone are equal, the height of the cone is how many times its base radius?","El volumen de un cono determinado es igual al volumen de una esfera determinada. Dado que el radio de la esfera y el radio de la base del cono son iguales, ¿cuántas veces la altura del cono es su radio de la base?",4,0,none,none,none
"The average of six numbers is 84. If 2 is added to the first number, 4 is added to the second number, 6 is added to the third number and so on, until 12 is added to the sixth number, what is the new average of these six new numbers?","El promedio de seis números es 84. Si al primer número se le suma 2, al segundo se le suma 4, al tercer número se le suma 6 y así sucesivamente, hasta que al sexto número se le suma 12, ¿cuál es el nuevo promedio de estos seis nuevos números?",91,0,none,none,none
How many distinct arrangements are there of the letters in the word ENGINEER?,¿Cuántas disposiciones distintas hay de las letras de la palabra ENGINEER? ,3360,0,none,none,none
"Devlyn made a batch of between 50 and 70 cupcakes. When they are packaged in groups of 3, 4 or 5 cupcakes, there is always one cupcake left over. How many cupcakes will be left over if they are packaged in groups of 7 cupcakes?","Devlyn preparó un lote de entre 50 y 70 pastelitos. Cuando se envasan en grupos de 3, 4 o 5 pastelitos siempre sobra un pastelito. ¿Cuántos pastelitos sobrarán si se empaquetan en grupos de 7 pastelitos?",5,0,none,none,none
"The distance between the points (2, -1, 9) and (-1, x, 21) is 13. What is the sum of all possible values of x?","La distancia entre los puntos (2, -1, 9) y (-1, x, 21) es 13. ¿Cuál es la suma de todos los valores posibles de x?",-2,0,none,none,none
How many positive integers less than 320 are relatively prime to 155?,¿Cuántos números enteros positivos menores que 320 son primos relativos con respecto a 155?,248,0,none,none,none
How many positive perfect squares have fewer than four digits?,¿Cuántos cuadrados perfectos positivos tienen menos de cuatro dígitos?,31,0,none,none,none
How many prime numbers p exist for which p < 100 and p + 1 is a perfect square?,¿Cuántos números primos p existen para los cuales p < 100 y p + 1 es un cuadrado perfecto?,1,0,none,none,none
A restaurant sells chicken wings in baskets of 5 or 8. What is the greatest exact number of chicken wings that cannot be purchased with whole baskets?,Un restaurante vende alitas de pollo en canastas de 5 u 8. ¿Cuál es el mayor número exacto de alitas de pollo que no se pueden comprar con canastas enteras?,27,0,none,none,none
How many two-digit integers are multiples of eight,¿Cuántos números enteros de dos cifras son múltiplos de ocho?,11,0,none,none,none
How many lines of symmetry does a regular 18-gon have?,¿Cuántos ejes de simetría tiene un 18-gono regular?,18,0,none,none,none
"If 5 zips equal 4 squawks, and 3 squawks equal 5 bangs, how many zips equal 12 bangs?","Si 5 cremalleras equivalen a 4 graznidos y 3 graznidos equivalen a 5 golpes, ¿cuántas cremalleras equivalen a 12 golpes?",9,0,none,none,none
"What is the least nine-digit positive integer that contains each of the digits from 1 to 9 exactly once, and is divisible by 99?",¿Cuál es el número entero positivo de mínimo nueve dígitos que contiene cada uno de los dígitos del 1 al 9 exactamente una vez y es divisible por 99?,123475869,0,none,none,none
A positive integer less than 100 has fewer than six positive factors. What is the greatest possible value of this integer?,Un número entero positivo menor que 100 tiene menos de seis factores positivos. ¿Cuál es el mayor valor posible de este número entero?,97,0,none,none,none
"If a, b and c are all positive integers greater than 1 for which a + ab + abc = 415, what is the value of c?","Si a, b y c son todos números enteros positivos mayores que 1 para los cuales a + ab + abc = 415, ¿cuál es el valor de c?",40,0,none,none,none
"Jameela weighed five giant pumpkins for the state fair. The weights, in kilograms, of all her pumpkins are integers. The median and mean weight of the five pumpkins are both 73 kg. If the weight of two of the pumpkins are 73 kg and 77 kg, what is the least possible value for the range of the weights?","Jameela pesó cinco calabazas gigantes para la feria estatal. Los pesos, en kilogramos, de todas sus calabazas son números enteros. El peso medio y medio de las cinco calabazas es de 73 kg. Si el peso de dos de las calabazas es 73 kg y 77 kg, ¿cuál es el menor valor posible para el rango de pesos?",6,0,none,none,none
There are 130 members of the Kelly family attending the family reunion cookout at the park. Each picnic table at the park seats eight people. What is the minimum number of picnic tables needed when the entire family sits down to eat together?,Hay 130 miembros de la familia Kelly que asisten a la comida al aire libre de la reunión familiar en el parque. Cada mesa de picnic en el parque tiene capacidad para ocho personas. ¿Cuál es el número mínimo de mesas de picnic que se necesitan cuando toda la familia se sienta a comer junta?,17,0,none,none,none
"A bus is traveling from Houston, Texas to Iowa City, Iowa, a distance of 1200 miles. When moving, the bus’s average speed is 60 mi/h. However, throughout the trip, the bus makes a number of rest stops. If the bus’s average speed over the entire trip, including the rest stops, is only 48 mi/h, how many minutes in total does the bus spend at rest stops over the course of the trip?","Un autobús viaja de Houston, Texas a Iowa City, Iowa, una distancia de 1200 millas. Cuando se mueve, la rapidez promedio del autobús es de 60 mi/h. Sin embargo, a lo largo del viaje, el autobús realiza varias paradas de descanso. Si la velocidad promedio del autobús durante todo el viaje, incluidas las paradas de descanso, es de solo 48 mi/h, ¿cuántos minutos en total pasa el autobús en las paradas de descanso durante el transcurso del viaje?",300,0,none,none,none
"A glass jar holding identical cotton balls weighs 16 ounces. When the number of cotton balls in the glass jar is tripled, the total weight of the glass jar is 24 ounces. How many ounces does the empty glass jar weigh?","Un frasco de vidrio que contiene bolas de algodón idénticas pesa 16 onzas. Cuando se triplica el número de bolas de algodón en el frasco de vidrio, el peso total del frasco de vidrio es 24 onzas. ¿Cuántas onzas pesa el frasco de vidrio vacío?",12,0,none,none,none
